pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
2,621366,"Borucki, Ryan",174,1.1,0,0,0,0,0,0.337,0.371,0,2,59.4,12,2255,90.9,91.15,0,2,0,0.3,6.55,106,135,88,146,287,317,304,0.2,-0.2,60.96016,6.46784
2,622786,"Tinoco, Jesus",644,0.3,0,0,0,0,0,0.732,0.781,0,2,92.1,10.5,1957,93.2,92.85,0,2,0,-0.4,6.1,124,151,118,152,311,327,305,0.3,-0.3,73.60119,7.15525
2,650671,"Quijada, José",379,0.5,0,0,0,0,0,0.563,0.611,0,2,97.5,7,2256,95.2,96,0,2,0,0.8,6.7,115,150,108,152,303,327,303,0.5,-0.5,74.904315,6.601695
2,800049,"Mazur, Adam",584,0.3,0,0,0,0,0,0.693,0.74,0,2,96.4,10,2340,87.8,86.95,0,2,0,-0.9,6,127,149,121,154,288,322,302,0.6,-0.6,69.19606,8.48552
2,676596,"Fleming, Josh",534,0.4,0.5,0,0.5,0.5,0.441,0.599,0.615,1,2,93.4,9.5,1725,86.4,86.85,0,2,0,0.5,6.55,126,148,116,152,278,313,301,0,0,71.95006,6.60444
2,668943,"Miller, Ryan",219,0.9,0.5,0,0.5,0.5,0.441,0.442,0.488,1,2,84.5,13.5,2267,89,88.75,0,2,0,-0.2,6.3,100,151,117,148,313,330,297,-0.2,0.2,71.452695,7.24822
2,678821,"Peralta, Luis",181,1.1,0,0,0,0,0,0.512,0.553,0,2,95.2,8,2185,95.6,95.6,0,2,0,0.1,6.1,108,150,122,147,308,332,311,0.9,-0.9,74.698045,7.049585
2,624522,"Thompson, Keegan",538,0.4,0,0,0,0,0,0.66,0.704,0,2,84,14.5,2750,87.1,86.9,0,2,0,-0.2,6.1,107,150,124,152,299,324,288,0.6,-0.6,64.46622,7.8066
2,669721,"Daniel, Davis",508,0.4,0,0,0,0,0,0.372,0.405,0,2,75.2,15.5,2170,82.7,82.85,0,2,0,0.1,6.6,119,152,120,151,306,322,298,0.4,-0.4,65.515105,6.42117
2,681810,"Warren, Austin",173,1.2,0.5,0,0.5,0.5,0.441,0.235,0.261,1,2,61.8,25,2796,82.9,82.85,0,2,0,0,6.35,105,143,119,152,287,314,301,-0.1,0.1,65.64566,6.486085
2,621097,"Waguespack, Jacob",221,0.9,0.5,0.5,0.5,1,0.627,0.561,0.603,1,2,86.4,12.5,1991,86.4,87,0,2,0,0.7,6.75,106,150,102,150,293,332,303,-0.2,0.2,72.145055,7.46851
2,679156,"Pennington, Walter",330,0.6,0,0,0,0,0,0.456,0.48,0,2,76.3,13,2331,87.5,86.3,0,2,0,-1.2,5.8,106,146,123,144,301,329,307,0.5,-0.5,78.248995,7.34795
1,670955,"Uceta, Edwin",672,0.1,0,0,0,0,0,0.82,0.837,0,1,111.8,9,2545,89.4,88.9,0,1,0,-0.5,5.9,121,147,113,153,301,334,313,0.1,-0.1,,
1,605154,"Brebbia, John",994,0.1,0,0,0,0,0,0.237,0.263,0,1,59.4,19,2603,84.2,85.4,0,1,0,1.2,6.7,113,153,119,146,294,326,289,0.1,-0.1,62.68077,7.98924
1,656671,"Maciejewski, Josh",96,1,0,0,0,0,0,0.521,0.571,0,1,95.7,8,2164,90.3,91.1,0,1,0,0.8,6.6,109,155,123,149,293,324,284,0.1,-0.1,75.34901,7.94906
1,675921,"Howard, Spencer",537,0.2,1,1,1,2,1.254,0.339,0.377,1,1,58.7,32,2155,94.4,95,0,1,0,0.6,6.5,112,154,132,149,299,308,308,-0.4,0.4,74.5302,6.98236
1,594798,"deGrom, Jacob",172,0.6,0,0,0,0,0,0.239,0.266,0,1,58.6,39,2547,90,90.8,0,1,0,0.8,6.5,126,150,91,153,280,299,294,0.3,-0.3,76.7095,7.29103
1,685314,"Saalfrank, Andrew",26,3.8,0,0,0,0,0,0.696,0.729,0,1,101.8,9,1813,90,89.5,0,1,0,-0.5,6,105,131,106,145,284,329,296,0.4,-0.4,73.54112,7.86919
1,547001,"Poteet, Cody",384,0.3,0,0,0,0,0,0.461,0.494,0,1,83.7,11,2355,94.1,93.3,0,1,0,-0.8,5.8,120,153,120,151,289,312,290,0.2,-0.2,73.62361,6.51319
1,621345,"Minter, A.J.",522,0.2,0,0,0,0,0,0.512,0.569,0,1,67.9,17,2526,94.9,95.6,0,1,0,0.7,6.6,115,147,106,145,299,320,287,0.3,-0.3,75.24638,6.72816
1,678692,"Henriquez, Ronny",303,0.3,0,0,0,0,0,0.461,0.494,0,1,84.2,11,1701,92.2,92.5,0,1,0,0.3,6.5,88,150,113,143,299,318,297,0.2,-0.2,68.20201,8.07532
1,545121,"Vargas, Ildemaro",23,4.3,0,0,0,0,0,0.466,0.471,0,1,91.4,5,1615,51.2,49.7,0,1,0,-1.5,5.1,131,148,127,152,291,327,310,0.5,-0.5,73.16304,6.54203
1,630023,"Chirinos, Yonny",515,0.2,0,0,0,0,0,0.643,0.663,0,1,106.4,8,2023,92.2,91.2,0,1,0,-1,6,88,132,126,149,302,326,303,0.3,-0.3,76.28705,7.48134
1,663462,"Campbell, Isaiah",119,0.8,0,0,0,0,0,0.894,0.894,0,1,109.9,10,2670,82.9,82.1,0,1,0,-0.8,6.3,123,149,109,153,272,317,301,0.2,-0.2,77.45861,7.09615
1,640902,"Pereda, Jhonny",5,20,0,0,0,0,0,0.731,0.763,0,1,102.9,9,1049,49,47.7,0,1,0,-1.3,5,127,154,128,146,319,338,280,1.3,-1.3,79.16805,7.4669
1,676974,"Meyer, Max",968,0.1,0,0,0,0,0,0.149,0.166,0,1,51.7,32,2688,89.3,90.1,0,1,0,0.8,6.5,118,154,126,146,299,310,295,0.3,-0.3,70.99925,7.7821
1,664123,"Effross, Scott",55,1.8,0,0,0,0,0,0.441,0.477,0,1,82.6,11,2515,77.8,76.5,0,1,0,-1.3,5.8,109,154,125,151,310,314,279,0.2,-0.2,64.44504,7.44085
1,669912,"Snead, Kirby",196,0.5,0,0,0,0,0,0.554,0.603,0,1,101.5,6,2278,90.8,90.3,0,1,0,-0.5,6.2,,,,,,,,0.8,-0.8,68.54445,6.14313
1,656353,"Davidson, Tucker",67,1.5,0,0,0,0,0,0.551,0.6,0,1,69.9,16,967,79.2,79.5,0,1,0,0.3,6.5,86,150,118,138,296,322,302,0.3,-0.3,67.49063,8.47633
1,663992,"Lovelady, Richard",528,0.2,0,0,0,0,0,0.149,0.166,0,1,50.6,30,2271,93.3,94.2,0,1,0,0.9,7.1,124,148,125,154,314,335,311,0.1,-0.1,71.26327,7.37089
1,572971,"Keuchel, Dallas",308,0.3,0,0,0,0,0,0.306,0.34,0,1,73.9,13,2109,88.1,87.5,0,1,0,-0.6,5.7,96,144,120,139,298,316,293,0.8,-0.8,65.46232,7.49448
